"","item","text","surprisal","idx"
"1","großer_dreieckiger_Aufkleber","großer","7.04664850234985","1"
"2","großer_dreieckiger_Aufkleber","dreieckiger","15.1461433023214","2"
"3","großer_dreieckiger_Aufkleber","Aufkleber","11.5272033214569","3"
"4","großer_dreieckiger_Aufkleber","großer","7.04664850234985","4"
"5","großer_dreieckiger_Aufkleber","dreieckiger","15.1461433023214","5"
"6","großer_dreieckiger_Aufkleber","Aufkleber","11.5272033214569","6"
"7","dreieckiger_großer_Aufkleber","dreieckiger","20.2885751724243","1"
"8","dreieckiger_großer_Aufkleber","großer","10.5464725494385","2"
"9","dreieckiger_großer_Aufkleber","Aufkleber","14.6111214160919","3"
"10","dreieckiger_großer_Aufkleber","dreieckiger","20.2885751724243","4"
"11","dreieckiger_großer_Aufkleber","großer","10.5464725494385","5"
"12","dreieckiger_großer_Aufkleber","Aufkleber","14.6111214160919","6"
"13","großer_sternförmiger_Aufkleber","großer","7.04664850234985","1"
"14","großer_sternförmiger_Aufkleber","sternförmiger","19.8482220172882","2"
"15","großer_sternförmiger_Aufkleber","Aufkleber","12.8975768089294","3"
"16","großer_sternförmiger_Aufkleber","großer","7.04664850234985","4"
"17","großer_sternförmiger_Aufkleber","sternförmiger","19.8482220172882","5"
"18","großer_sternförmiger_Aufkleber","Aufkleber","12.8975768089294","6"
"19","sternförmiger_großer_Aufkleber","sternförmiger","28.6901063919067","1"
"20","sternförmiger_großer_Aufkleber","großer","12.0496768951416","2"
"21","sternförmiger_großer_Aufkleber","Aufkleber","15.2303168773651","3"
"22","sternförmiger_großer_Aufkleber","sternförmiger","28.6901063919067","4"
"23","sternförmiger_großer_Aufkleber","großer","12.0496768951416","5"
"24","sternförmiger_großer_Aufkleber","Aufkleber","15.2303168773651","6"
"25","großer_quadratischer_Aufkleber","großer","7.04664850234985","1"
"26","großer_quadratischer_Aufkleber","quadratischer","12.813353523612","2"
"27","großer_quadratischer_Aufkleber","Aufkleber","19.597177028656","3"
"28","großer_quadratischer_Aufkleber","großer","7.04664850234985","4"
"29","großer_quadratischer_Aufkleber","quadratischer","12.813353523612","5"
"30","großer_quadratischer_Aufkleber","Aufkleber","19.597177028656","6"
"31","quadratischer_großer_Aufkleber","quadratischer","22.7970495223999","1"
"32","quadratischer_großer_Aufkleber","großer","13.8981037139893","2"
"33","quadratischer_großer_Aufkleber","Aufkleber","19.6240792274475","3"
"34","quadratischer_großer_Aufkleber","quadratischer","22.7970495223999","4"
"35","quadratischer_großer_Aufkleber","großer","13.8981037139893","5"
"36","quadratischer_großer_Aufkleber","Aufkleber","19.6240792274475","6"
"37","großer_kreisförmiger_Aufkleber","großer","7.04664850234985","1"
"38","großer_kreisförmiger_Aufkleber","kreisförmiger","17.6032891273499","2"
"39","großer_kreisförmiger_Aufkleber","Aufkleber","14.2562274932861","3"
"40","großer_kreisförmiger_Aufkleber","großer","7.04664850234985","4"
"41","großer_kreisförmiger_Aufkleber","kreisförmiger","17.6032891273499","5"
"42","großer_kreisförmiger_Aufkleber","Aufkleber","14.2562274932861","6"
"43","kreisförmiger_großer_Aufkleber","kreisförmiger","23.8078031539917","1"
"44","kreisförmiger_großer_Aufkleber","großer","11.1996536254883","2"
"45","kreisförmiger_großer_Aufkleber","Aufkleber","16.4713249206543","3"
"46","kreisförmiger_großer_Aufkleber","kreisförmiger","23.8078031539917","4"
"47","kreisförmiger_großer_Aufkleber","großer","11.1996536254883","5"
"48","kreisförmiger_großer_Aufkleber","Aufkleber","16.4713249206543","6"
"49","großer_schwarzer_Aufkleber","großer","7.04664850234985","1"
"50","großer_schwarzer_Aufkleber","schwarzer","8.15695095062256","2"
"51","großer_schwarzer_Aufkleber","Aufkleber","10.2827010452747","3"
"52","großer_schwarzer_Aufkleber","großer","7.04664850234985","4"
"53","großer_schwarzer_Aufkleber","schwarzer","8.15695095062256","5"
"54","großer_schwarzer_Aufkleber","Aufkleber","10.2827010452747","6"
"55","schwarzer_großer_Aufkleber","schwarzer","30.6256628036499","1"
"56","schwarzer_großer_Aufkleber","großer","11.9412422180176","2"
"57","schwarzer_großer_Aufkleber","Aufkleber","11.7789806127548","3"
"58","schwarzer_großer_Aufkleber","schwarzer","30.6256628036499","4"
"59","schwarzer_großer_Aufkleber","großer","11.9412422180176","5"
"60","schwarzer_großer_Aufkleber","Aufkleber","11.7789806127548","6"
"61","großer_grauer_Aufkleber","großer","7.04664850234985","1"
