candidate,baseline,semantics,sufficient_form_pair_boost,three_word_penalty,utterance_rmse_gain,category_rmse_gain,target_abs_residual_reduction_mean,target_worst_abs_residual_harm,target_harm_ok,forward_gate_pass,rank_score,recommended_for_gpu_pilot,utterance_rmse_gate,category_rmse_gate,target_residual_gate,max_target_harm
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,1.0,0.5,0.013460242384319136,0.02251129979877034,0.0687418145768965,0.009324723698268422,True,True,0.10471335675998597,True,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,context_updating,1.0,0.5,0.013333984444810855,0.022475291616881873,0.06858949710451494,0.00948738904498761,True,True,0.10439877316620766,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,1.0,0.75,0.010223870594680072,0.02182452825341291,0.07137135515949379,0.0011039141658316098,True,True,0.10341975400758677,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.75,0.75,0.012626373480678584,0.024189039566969408,0.06654742184285055,0.0,True,True,0.10336283489049854,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,context_updating,0.75,0.75,0.012529464825971684,0.024171801562028694,0.0664494708718721,0.0,True,True,0.10315073725987248,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,context_updating,1.0,0.75,0.010089236115741071,0.021794158097718414,0.07109891280845816,0.0012946454935383322,True,True,0.10298230702191764,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.75,1.0,0.00862469735400187,0.018277203904012423,0.06957333629331973,0.0,True,True,0.09647523755133403,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,context_updating,0.75,1.0,0.008523957132840668,0.01827625471070191,0.06961968578419005,0.0,True,True,0.09641989762773262,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.75,0.5,0.01494455133859176,0.024780326073035288,0.05628449756413339,0.0,True,True,0.09600937497576043,False,0.005,0.02,0.03,0.05
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,context_updating,0.75,0.5,0.014858729974717981,0.024755340326569873,0.05629486693954893,0.0,True,True,0.0959089372408368,False,0.005,0.02,0.03,0.05
